category,instance,complexity,presolve,runtime_sec,status,n_incumbents,n_vars,best_obj,worst_obj,pct_ones
CFL_easy_instance,CFL_easy_instance_21,easy,0,212.9612364768982,2,251,160400,4.758006544538281,1270.7947632432392,0.4077306733167082
CFL_easy_instance,CFL_easy_instance_22,easy,0,310.89610528945923,2,233,160400,5.672478311812267,1398.5675142827718,0.415211970074813
CFL_easy_instance,CFL_easy_instance_23,easy,0,339.3376941680908,2,279,160400,5.4549866499560995,1351.6108316543305,0.4102244389027431
CFL_easy_instance,CFL_easy_instance_24,easy,0,456.5579295158386,2,423,160400,4.9346280072527975,1262.9493434020733,0.40648379052369077
CFL_easy_instance,CFL_easy_instance_25,easy,0,287.59494805336,2,270,160400,4.967962078388355,1358.2412562220784,0.4102244389027431
CFL_easy_instance,CFL_easy_instance_26,easy,0,321.85774874687195,2,188,160400,5.25298436324352,1233.557572036325,0.4027431421446384
CFL_easy_instance,CFL_easy_instance_27,easy,0,209.96488857269287,2,281,160400,4.613803033094205,1312.9863120818175,0.415211970074813
CFL_easy_instance,CFL_easy_instance_28,easy,0,314.71501660346985,2,281,160400,5.247605071260926,1239.7941481613104,0.40461346633416456
CFL_easy_instance,CFL_easy_instance_29,easy,0,368.76347303390503,2,290,160400,5.258786973056033,1387.0910484793967,0.4170822942643391
CFL_easy_instance,CFL_easy_instance_3,easy,0,318.23361229896545,2,256,160400,5.322173005485017,1348.4763023200971,0.4077306733167082
CFL_easy_instance,CFL_easy_instance_4,easy,0,317.97805094718933,2,309,160400,4.879727654459359,1245.7990752804353,0.3983790523690773
CFL_easy_instance,CFL_easy_instance_5,easy,0,357.5241873264313,2,331,160400,4.8319191846317535,1251.413562325153,0.4027431421446384
CFL_easy_instance,CFL_easy_instance_6,easy,0,206.87973523139954,2,268,160400,5.048701307021278,1280.80825454961,0.41209476309226933
CFL_easy_instance,CFL_easy_instance_7,easy,0,293.79910588264465,2,274,160400,5.342702082321045,1231.389556033294,0.40399002493765584
CFL_easy_instance,CFL_easy_instance_8,easy,0,400.69857692718506,2,320,160400,5.443442328751586,1314.5155406890935,0.4077306733167082
CFL_easy_instance,CFL_easy_instance_9,easy,0,387.74396419525146,2,338,160400,5.206624048286239,1329.4012382729652,0.4102244389027431
CFL_hard_instance,CFL_hard_instance_0,easy,0,3600.3517537117004,9,119,5123200,67.31858617324144,6285.455040439967,0.05582448469706434
CFL_hard_instance,CFL_hard_instance_1,easy,0,3600.40202999115,9,134,5123200,56.73260324218107,6241.203549199016,0.05584400374765772
CFL_hard_instance,CFL_hard_instance_10,easy,0,3600.299233675003,9,101,5123200,95.57155724789934,6640.6395981010555,0.05607823235477826
CFL_hard_instance,CFL_hard_instance_11,easy,0,3600.337369441986,9,110,5123200,104.80347765932333,6396.8186852917315,0.05578544659587758
CFL_hard_instance,CFL_hard_instance_12,easy,0,3600.4974002838135,9,141,5123200,72.37070551622176,6469.048607065858,0.056273422860712054
CFL_hard_instance,CFL_hard_instance_13,easy,0,3600.3166964054108,9,134,5123200,64.50068909132091,6215.74060598711,0.05549266083697689
CFL_hard_instance,CFL_hard_instance_15,easy,0,3600.365517139435,9,96,5123200,94.74946111123373,6629.65167635443,0.055883041848844475
CFL_hard_instance,CFL_hard_instance_16,easy,0,3600.3535351753235,9,93,5123200,101.00455292970344,6155.42455988388,0.05574640849469082
CFL_hard_instance,CFL_hard_instance_17,easy,0,3600.366932153702,9,106,5123200,88.19903705560675,6470.684770124718,0.055922079950031234
CFL_hard_instance,CFL_hard_instance_18,easy,0,3600.291606426239,9,124,5123200,58.64651501049308,6299.676345924747,0.05594159900062461
CFL_hard_instance,CFL_hard_instance_19,easy,0,3600.7869348526,9,114,5123200,72.11511698253798,6280.455660092212,0.05574640849469082
CFL_hard_instance,CFL_hard_instance_2,easy,0,3600.4019243717194,9,132,5123200,68.90957285973762,6346.399625181515,0.05578544659587758
CFL_hard_instance,CFL_hard_instance_20,easy,0,3600.297923564911,9,117,5123200,107.4577451813853,6306.938249504132,0.055629294191130545
CFL_hard_instance,CFL_hard_instance_21,easy,0,3600.2633941173553,9,119,5123200,63.35281893173374,6426.33661018658,0.05578544659587758
CFL_hard_instance,CFL_hard_instance_22,easy,0,3600.435540676117,9,109,5123200,87.73246921771205,6049.211054945659,0.055648813241723924
CFL_hard_instance,CFL_hard_instance_23,easy,0,3602.237167596817,9,107,5123200,76.71657296731051,6536.41200888517,0.055980637101811365
CFL_hard_instance,CFL_hard_instance_24,easy,0,3600.309658765793,9,113,5123200,80.362065639387,6426.60504770837,0.05572688944409744
CFL_hard_instance,CFL_hard_instance_25,easy,0,3600.3585147857666,9,137,5123200,77.18525802492996,6291.134943741346,0.05539506558400999
CFL_hard_instance,CFL_hard_instance_26,easy,0,3600.3274903297424,9,139,5123200,70.07613007822034,6510.191137418644,0.055863522798251096
CFL_hard_instance,CFL_hard_instance_27,easy,0,3603.802780151367,9,110,5123200,94.52387574096714,6322.549731972009,0.05568785134291068
CFL_hard_instance,CFL_hard_instance_28,easy,0,3600.534736394882,9,137,5123200,79.55784152465208,6704.988924365733,0.05641005621486571
CFL_hard_instance,CFL_hard_instance_3,easy,0,3606.8338901996613,9,99,5123200,110.37732713846856,6314.9618439266615,0.05580496564647096
CFL_hard_instance,CFL_hard_instance_4,easy,0,3600.3276178836823,9,128,5123200,78.57363418856075,6127.713084567963,0.05570737039350406
CFL_hard_instance,CFL_hard_instance_5,easy,0,3600.690016269684,9,118,5123200,78.6083100183246,6350.567074248834,0.055980637101811365
CFL_hard_instance,CFL_hard_instance_6,easy,0,3601.4894604682922,9,132,5123200,58.87559237482909,6456.146774236808,0.05570737039350406
CFL_hard_instance,CFL_hard_instance_7,easy,0,3600.4021780490875,9,117,5123200,80.08861439226962,6279.0980230666055,0.05570737039350406
CFL_hard_instance,CFL_hard_instance_8,easy,0,3600.417533636093,9,150,5123200,57.7153436424054,6284.414407763906,0.05555121798875703
CFL_hard_instance,CFL_hard_instance_9,easy,0,3600.2439110279083,9,130,5123200,72.45646307338768,6414.081962895834,0.05605871330418488
