sample_id,source_instance_id,difficulty,density,discrete_fraction,constraint_variable_ratio,positive_label_fraction,objective_log_mean,objective_log_std,rhs_log_mean,rhs_log_std,coefficient_log_mean,coefficient_log_std,lower_bound_log_mean,upper_bound_log_mean,fixed_domain_fraction,variable_degree_std,constraint_degree_std,root_lp_mean,root_lp_std,binary_lp_fractionality,mip_gap_relative,execution_time_seconds,pca_component_1,pca_component_2,cluster_id
CFL_easy_instance_18,CFL_easy_instance_18,easy,0.0024968827930174566,0.9077306733167082,0.004987531172069825,0.0025686812587082386,0.05221632935102862,0.08729005193783275,0.3465735912322998,0.3465735912322998,0.5260072350502014,0.316375732421875,0.0,0.6931471824645996,0.0,0.04987531172069825,14.758641536401647,0.002496800116759143,0.049875385212462466,3.342985770374511e-06,0.0,322.97228932380676,-1.926451899410864,0.3819374818421881,1
CFL_easy_instance_19,CFL_easy_instance_19,easy,0.0024968827930174566,0.9052369077306733,0.004987531172069825,0.0025757576804608107,0.05247580626357326,0.0907247638076656,0.3465735912322998,0.3465735912322998,0.5260030627250671,0.31468677520751953,0.0,0.6931471824645996,0.0,0.04987531172069825,14.062894438912638,0.00249678952466623,0.04987544960072675,3.3404941905183595e-06,0.0,299.527615070343,-2.075070927056181,0.20461490253001072,1
CFL_easy_instance_2,CFL_easy_instance_2,easy,0.0024968827930174566,0.9177057356608479,0.004987531172069825,0.0025611412711441517,0.05245606615127795,0.0903501880869199,0.3465735912322998,0.3465735912322998,0.5322027206420898,0.30843961238861084,0.0,0.6931471824645996,0.0,0.04987531172069825,13.262164227606291,0.002496886643078821,0.04987542092933476,3.4009344418675284e-06,5.972665213798435e-10,755.8743679523468,-1.9004274830060655,0.04058821746611514,2
CFL_easy_instance_20,CFL_easy_instance_20,easy,0.0024968827930174566,0.9177057356608479,0.004987531172069825,0.002574728336185217,0.05237319553093417,0.08659452058225499,0.3465735912322998,0.3465735912322998,0.5293360948562622,0.3106023967266083,0.0,0.6931471824645996,0.0,0.04987531172069825,14.236484818943193,0.002496837747181553,0.04987539202799032,3.347653858159808e-06,0.0,351.20700550079346,-1.8314226756721044,0.46504910259808613,1
CFL_easy_instance_21,CFL_easy_instance_21,easy,0.0024968827930174566,0.9251870324189526,0.004987531172069825,0.0025741239078342915,0.052378746714907644,0.08931902717413127,0.3465735912322998,0.3465735912322998,0.5335946679115295,0.3120517432689667,0.0,0.6931471824645996,0.0,0.04987531172069825,13.941215872369238,0.002496935551601721,0.049875457081858414,3.4262970142592015e-06,0.0,212.9612364768982,-1.9215221855932703,0.3188632533099036,2
CFL_easy_instance_22,CFL_easy_instance_22,easy,0.0024968827930174566,0.8927680798004988,0.004987531172069825,0.002562849083915353,0.052454718544094565,0.09062118232233225,0.3465735912322998,0.3465735912322998,0.5227516293525696,0.31308820843696594,0.0,0.6931471824645996,0.0,0.04987531172069825,14.206600578604299,0.0024967126358562118,0.04987541369057575,3.3010250791644543e-06,0.0,310.89610528945923,-2.033446070745752,-0.08894073724758222,1
CFL_easy_instance_23,CFL_easy_instance_23,easy,0.0024968827930174566,0.9226932668329177,0.004987531172069825,0.002567567629739642,0.05238081579803111,0.08972345619272776,0.3465735912322998,0.3465735912322998,0.5391439199447632,0.3087015450000763,0.0,0.6931471824645996,0.0,0.04987531172069825,14.78681845428556,0.0024970359379990425,0.04987544530773739,3.5443544259892037e-06,0.0,339.3376941680908,-1.8079834160236632,-0.6167624981932677,2
CFL_easy_instance_24,CFL_easy_instance_24,easy,0.0024968827930174566,0.9077306733167082,0.004987531172069825,0.0025686812587082386,0.05230991845075402,0.08886366768813884,0.3465735912322998,0.3465735912322998,0.5345504283905029,0.3104251027107239,0.0,0.6931471824645996,0.0,0.04987531172069825,14.597602542883541,0.002496947119545196,0.04987543841463976,3.5049311473178204e-06,0.0,456.5579295158386,-1.804295049914108,-0.8449401830066429,2
CFL_easy_instance_25,CFL_easy_instance_25,easy,0.0024968827930174566,0.9201995012468828,0.004987531172069825,0.002574525773525238,0.05237314326056421,0.08959502177388683,0.3465735912322998,0.3465735912322998,0.5321078896522522,0.31000617146492004,0.0,0.6931471824645996,0.0,0.04987531172069825,13.730895819282877,0.002496892480876292,0.04987544002275201,3.3980618736944457e-06,0.0,287.59494805336,-1.8880530778235032,0.2163179723191612,2
CFL_easy_instance_26,CFL_easy_instance_26,easy,0.0024968827930174566,0.9102244389027432,0.004987531172069825,0.0025684931315481663,0.0523455381670574,0.08938551722569625,0.3465735912322998,0.3465735912322998,0.5289788246154785,0.3099993169307709,0.0,0.6931471824645996,0.0,0.04987531172069825,14.362276978251046,0.002496826554885118,0.049875411912920095,3.362872627212087e-06,0.0,321.85774874687195,-1.8778678970937803,0.06379376693735765,1
CFL_easy_instance_27,CFL_easy_instance_27,easy,0.0024968827930174566,0.9276807980049875,0.004987531172069825,0.0025739248376339674,0.0523873993479891,0.08800560146395252,0.3465735912322998,0.3465735912322998,0.5357057452201843,0.30717527866363525,0.0,0.6931471824645996,0.0,0.04987531172069825,14.567171997337026,0.0024969537249697007,0.04987544434824762,3.4366766474460613e-06,0.0,209.96488857269287,-1.769848748966155,0.14434678496202313,2
CFL_easy_instance_28,CFL_easy_instance_28,easy,0.0024968827930174566,0.9027431421446384,0.004987531172069825,0.0025690607726573944,0.05233084560204035,0.08859948987602735,0.3465735912322998,0.3465735912322998,0.5341789126396179,0.30813711881637573,0.0,0.6931471824645996,0.0,0.04987531172069825,13.820908074363276,0.002496926465668095,0.049875449959328584,3.501416389243327e-06,0.0,314.71501660346985,-1.750172156714428,-1.102414398871281,2
CFL_easy_instance_29,CFL_easy_instance_29,easy,0.0024968827930174566,0.9177057356608479,0.004987531172069825,0.002574728336185217,0.05241615650190068,0.08959838887306783,0.3465735912322998,0.3465735912322998,0.5272241830825806,0.3098851144313812,0.0,0.6931471824645996,0.0,0.04987531172069825,14.159978813543471,0.00249678962502935,0.049875424950738156,3.2952164042646237e-06,0.0,368.76347303390503,-1.9379396539579585,0.7406720831868525,1
CFL_easy_instance_3,CFL_easy_instance_3,easy,0.0024968827930174566,0.9177057356608479,0.004987531172069825,0.0025611412711441517,0.052514112271387005,0.09065983647545335,0.3465735912322998,0.3465735912322998,0.5398621559143066,0.30550071597099304,0.0,0.6931471824645996,0.0,0.04987531172069825,14.44896190042731,0.0024970329871781983,0.049875447670327415,3.560401789286516e-06,0.0,318.23361229896545,-1.7973529847098157,-1.0384181217782291,2
CFL_easy_instance_4,CFL_easy_instance_4,easy,0.0024968827930174566,0.9052369077306733,0.004987531172069825,0.002568870550021529,0.052394671067665724,0.09026876745097907,0.3465735912322998,0.3465735912322998,0.525201678276062,0.3139643669128418,0.0,0.6931471824645996,0.0,0.04987531172069825,14.083944759903028,0.0024967693233745657,0.04987543493690408,3.3181781630874934e-06,0.0,317.97805094718933,-2.026493762863838,0.31446279847872693,1
