sample_id,source_instance_id,difficulty,sampling_strategy,variables,constraints,nonzeros,density,discrete_fraction,positive_label_fraction,right_censored,mip_gap_relative,execution_time_seconds,root_lp_minimum,root_lp_maximum,root_lp_nonzero_fraction
CFL_easy_instance_21,CFL_easy_instance_21,easy,original,160400,800,320400,0.0024968827930174566,0.9251870324189526,0.0025741239078342915,,0.0,212.9612364768982,-0.0,1.0,0.0032668329177057355
CFL_easy_instance_22,CFL_easy_instance_22,easy,original,160400,800,320400,0.0024968827930174566,0.8927680798004988,0.002562849083915353,,0.0,310.89610528945923,0.0,1.0,0.003273067331670823
CFL_easy_instance_23,CFL_easy_instance_23,easy,original,160400,800,320400,0.0024968827930174566,0.9226932668329177,0.002567567629739642,,0.0,339.3376941680908,-0.0,1.0,0.0032356608478802994
CFL_easy_instance_24,CFL_easy_instance_24,easy,original,160400,800,320400,0.0024968827930174566,0.9077306733167082,0.0025686812587082386,,0.0,456.5579295158386,-0.0,1.0,0.0032668329177057355
CFL_easy_instance_25,CFL_easy_instance_25,easy,original,160400,800,320400,0.0024968827930174566,0.9201995012468828,0.002574525773525238,,0.0,287.59494805336,-0.0,1.0,0.0032668329177057355
CFL_easy_instance_26,CFL_easy_instance_26,easy,original,160400,800,320400,0.0024968827930174566,0.9102244389027432,0.0025684931315481663,,0.0,321.85774874687195,-0.0,1.0,0.0032481296758104738
CFL_easy_instance_27,CFL_easy_instance_27,easy,original,160400,800,320400,0.0024968827930174566,0.9276807980049875,0.0025739248376339674,,0.0,209.96488857269287,-0.0,1.0,0.003254364089775561
CFL_easy_instance_28,CFL_easy_instance_28,easy,original,160400,800,320400,0.0024968827930174566,0.9027431421446384,0.0025690607726573944,,0.0,314.71501660346985,-0.0,1.0,0.0032231920199501246
CFL_easy_instance_29,CFL_easy_instance_29,easy,original,160400,800,320400,0.0024968827930174566,0.9177057356608479,0.002574728336185217,,0.0,368.76347303390503,-0.0,1.0,0.0032356608478802994
CFL_medium_instance_0,CFL_medium_instance_0,medium,original,1281600,2400,2561600,0.0008328131502288806,0.898876404494382,0.0006449652719311416,,0.06966822782913246,3600.133940935135,-0.0,1.0,0.000867665418227216
CFL_medium_instance_1,CFL_medium_instance_1,medium,original,1281600,2400,2561600,0.0008328131502288806,0.9126092384519351,0.0006438098498620093,,0.07246012290707497,3600.14004778862,-0.0,1.0,0.0008684456928838951
CFL_medium_instance_2,CFL_medium_instance_2,medium,original,1281600,2400,2561600,0.0008328131502288806,0.8863920099875156,0.0006434859242290258,,0.012060627477751487,14400.979574918747,-0.0,1.0,0.0008637640449438202
CFL_medium_instance_4,CFL_medium_instance_4,medium,original,1281600,2400,2561600,0.0008328131502288806,0.9275905118601748,0.0006443472229875624,,0.08292930568986612,3600.087931871414,-0.0,1.0,0.0008770287141073658
CFL_medium_instance_15,CFL_medium_instance_15,medium,original,1281600,2400,2561600,0.0008328131502288806,0.9213483146067416,0.0006419376586563885,,0.059788637375943796,14400.668487071991,-0.0,1.0,0.0008723470661672909
CFL_medium_instance_16,CFL_medium_instance_16,medium,original,1281600,2400,2561600,0.0008328131502288806,0.9113607990012484,0.0006455479306168854,,0.0,3361.367010116577,-0.0,1.0,0.0008661048689138577
CFL_medium_instance_17,CFL_medium_instance_17,medium,original,1281600,2400,2561600,0.0008328131502288806,0.9076154806491885,0.0006430536741390824,,0.04998847064261424,14400.092406988144,-0.0,1.0,0.0008544007490636704
CFL_medium_instance_18,CFL_medium_instance_18,medium,original,1281600,2400,2561600,0.0008328131502288806,0.8976279650436954,0.0006449930369853973,,0.061104040797673946,3600.1756930351257,-0.0,1.0,0.0008684456928838951
CFL_medium_instance_19,CFL_medium_instance_19,medium,original,1281600,2400,2561600,0.0008328131502288806,0.9250936329588015,0.0006452429224736989,,0.04502246852948924,14400.592690944672,-0.0,1.0,0.0008707865168539326
